date,close,volume,open,high,low
2018/04/26,238.6900,3840413.0000,232.8300,239.4000,232.6000
2018/04/25,231.4100,2250412.0000,229.2000,231.4600,222.5000
2018/04/24,231.4100,2220157.0000,233.8200,238.3600,228.5000
2018/04/23,231.4200,1532792.0000,232.5200,235.0500,230.1400
2018/04/20,232.5000,2274649.0000,234.9200,235.6900,230.2100
2018/04/19,237.1100,1737361.0000,238.4300,240.4000,235.2624
2018/04/18,237.7500,2039197.0000,237.3800,239.9100,236.5000
2018/04/17,235.6700,2279371.0000,230.2700,237.0000,228.6300
2018/04/16,229.9000,1913580.0000,228.4500,231.0650,226.5300
2018/04/13,228.1700,1608928.0000,231.8800,233.0000,225.7700
2018/04/12,231.3400,1213955.0000,230.7500,232.2365,229.0300
2018/04/11,229.6500,1380437.0000,230.0000,233.5000,228.8800
2018/04/10,231.5000,2622356.0000,231.3200,233.5500,228.4200
2018/04/09,224.3300,2276948.0000,224.7000,227.7476,221.9200
2018/04/06,219.8200,1737328.0000,221.3000,225.2900,218.1300
2018/04/05,225.5700,1997010.0000,226.0100,228.4999,224.3700
2018/04/04,224.3000,4100721.0000,213.8000,225.9500,213.5560
2018/04/03,220.0200,2344606.0000,223.5300,224.7700,216.6900
2018/04/02,220.0600,2688697.0000,220.8400,223.8700,216.1100
2018/03/29,223.1900,3785043.0000,225.0000,226.4797,220.1600
2018/03/28,223.1000,4246406.0000,228.8000,229.9000,220.2000
2018/03/27,230.9600,3014423.0000,239.3800,241.2090,228.7000
2018/03/26,235.9400,3322856.0000,236.6100,237.7700,229.3800
2018/03/23,230.0800,3975792.0000,236.5200,238.8200,229.3400
2018/03/22,236.1100,5095676.0000,245.0000,245.1700,233.7200
2018/03/21,250.0500,2641659.0000,254.2600,254.2600,249.0300
2018/03/20,254.4600,2359195.0000,253.7500,256.7400,252.1100
2018/03/19,252.8300,3087709.0000,261.4700,261.7600,250.3500
2018/03/16,262.3900,4644499.0000,259.6100,263.7000,257.2100
2018/03/15,262.7100,2505453.0000,263.0100,264.7500,260.4900
2018/03/14,259.3500,2342565.0000,259.7300,262.7500,256.7250
2018/03/13,258.3500,2564488.0000,268.0000,268.0000,257.3400
2018/03/12,265.6700,2573403.0000,264.9200,270.5800,263.2400
2018/03/09,263.5600,3755736.0000,259.2500,267.6000,257.8600
2018/03/08,257.1400,2284689.0000,257.5400,258.5500,254.8600
2018/03/07,257.2600,1657859.0000,255.9300,258.3200,254.1600
2018/03/06,258.7300,2590490.0000,257.9900,260.0000,255.7300
2018/03/05,254.8900,2269157.0000,248.0900,256.3300,246.2100
2018/03/02,250.6000,2431239.0000,242.3200,251.5800,240.6600
2018/03/01,249.7500,3004554.0000,251.6300,256.2000,245.6800
2018/02/28,252.3400,2671582.0000,254.0000,255.0000,250.5728
2018/02/27,250.4600,2694540.0000,253.5000,257.5605,250.2100
2018/02/26,256.2500,2590913.0000,251.3400,256.2900,250.8600
